Liste indicateur L'Oréal,2022,2021,2020,2019
Actifs Circulants (ou Actifs Courants),14049.7,12075.8,14560.1,13916.5
BFR,N/A,N/A,N/A,N/A
Capitaux propre,27186.5,23592.6,28998.8,29426
Créance Client,4755.5,4021,3511.3,4086.7
Créance Douteuse,N/A,N/A,N/A,N/A
Dette,19657.7,19420.8,14608.1,14383.8
Dette CT (Dette Court Terme),13719.8,16583.2,11130.1,10868.5
Dette Fournisseur,6345.6,6068.1,4764.5,4658.4
Dette Long/Moyen Terme,4231.1,1258.2,1303.2,1637.6
Dette Nette,3010.1,3581.8,-3866.1,-2422.6
Emplois Stables (Actifs LT),32794.5,30937.6,29046.8,29893.3
FR,N/A,N/A,N/A,N/A
Provision,525.6,424.4,1070.3,829.8
Ressources circulants (ou Courants),13719.8,16583.2,11130.1,10868.5
Ressources Stables (Passifs LT),5937.9,2837.6,3478,3515.3
Stock,4079.4,3166.9,2675.8,2920.8
Total Bilan,46844.2,43013.4,43606.9,43809.8
Trésorerie net,1899.2,2200.6,2666,2243.6
Excédent Brut d'exploitation (EBE),9166.2,7562.1,6521.7,7259.4
Bénéfice Avant Intérêts et Impôts (EBIT),7630.1,5781.1,4493.6,5301.1
Bénéfice Avant Intérêts, Impôts, Dépréciation et Amortissement (EBITDA),9166.2,7562.1,6521.7,7259.4
Capacité d'Autofinancement (CAF),7243.4,6397.6,5650.9,5755
Charges Financières,0.7,19.5,59.4,46.7
Chiffre d'Affaires (CA),38260.6,32287.6,27992.1,29873.6
Chiffre d'Affaires à l'Exportation,N/A,N/A,N/A,N/A
Chiffre d'Affaires de l'année précédente (CA (n-1)),32287.6,27992.1,29873.6,26937.4
Consommation des Tiers TTC (Toutes Taxes Comprises),29216.2,25989.6,23300.2,24296.1
Production Vendue,36741.1,32287.6,27992.1,29873.6
Résultat Net,5706.6,4597.1,3563.4,3750
Cash Flow Opérationnel (CFO),N/A,N/A,N/A,N/A
Free Cash Flow (FCF),4935.1,5653.2,5480.9,5031.8
Funds from Operations (FFO),N/A,N/A,N/A,N/A
