Liste indicateur Toyota (milliard de yen),2022,2021,2020,2019
Actifs Circulants (ou Actifs Courants),26459781,23722290,22776800,18963320
BFR,N/A,N/A,N/A,N/A
Capitaux propre,29264213,27154820,24181210,21231893
Créance Client,16491045,14583130,12449525,10417797
Créance Douteuse,N/A,N/A,N/A,N/A
Dette,45038967,40533951,37978811,32633351
Dette CT (Dette Court Terme),23959715,21842161,21460466,18142209
Dette Fournisseur,3819334,3168084,2953716,2354425
Dette Long/Moyen Terme,17074634,15308519,13447575,10935478
Dette Nette,-4540337,-4226329,-3617959,15098920
Emplois Stables (Actifs LT),47843399,43966481,39490340,35009043
FR,N/A,N/A,N/A,N/A
Provision,N/A,N/A,N/A,N/A
Ressources circulants (ou Courants),23959715,21842161,21460466,18142209
Ressources Stables (Passifs LT),21079252,18691790,16518345,14491142
Stock,4255614,3821356,2888028,2533892
Total Bilan,74303180,67688771,62160021,53865244
Trésorerie net,7516966,6113655,5100857,4098450
Excédent Brut d'exploitation (EBE),4764929,4817577,3842038,3994579
Bénéfice Avant Intérêts et Impôts (EBIT),2725025,2995697,2197748,2399232
Bénéfice Avant Intérêts, Impôts, Dépréciation et Amortissement (EBITDA),4764929,4817577,3842038,3994579
Capacité d'Autofinancement (CAF),4309905,4607010,3826372,3553771
Charges Financières,-181317,-64980,-63179,-77716
Chiffre d'Affaires (CA),37154298,31379507,31210623,31246282
Chiffre d'Affaires à l'Exportation,N/A,N/A,N/A,N/A
Chiffre d'Affaires de l'année précédente (CA (n-1)),31379507,31210623,31246282,31193771
Consommation des Tiers TTC (Toutes Taxes Comprises),4431665,4166758,3560714,3471014
Production Vendue,34367619,29073428,25077398,27693693
Résultat Net,2451318,2850110,2245261,2036140
Cash Flow Opérationnel (CFO),N/A,N/A,N/A,N/A
Free Cash Flow (FCF),-402476,238456,-762336,-1043088
Funds from Operations (FFO),N/A,N/A,N/A,N/A
